#
#"Wp"	"SZmax(1),Zmax(1)_0D_yAtX"
#-------------------------------
0.0000000000000	-18.702607612576
0.0000000000000	-18.702607612576
0.10000000000000	-18.702952764162
1.0750000000000	-18.717075933596
2.0500000000000	-18.789125144017
3.0250000000000	-19.013550327723
4.0000000000000	-19.601937997820
4.1000000000000	-19.697299374780
4.5750000000000	-20.317207751009
5.0500000000000	-21.282890418750
5.5250000000000	-22.843371070572
6.0000000000000	-25.472832521394
6.1000000000000	-26.322238913661
6.2322222222222	-27.675789743122
6.3644444444444	-29.361496474553
6.4966666666667	-31.673604631380
6.6288888888889	-34.790192928934
6.7611111111111	-40.124000293231
6.8933333333333	-46.852242412210
7.0255555555556	-57.233768282384
7.1577777777778	-74.088570296598
7.2900000000000	-108.86187218551
7.2953241379310	-110.43617890056
7.3000000000000	-112.22945557851
7.3006482758621	-110.59295489747
7.3059724137931	-113.76637726843
7.3112965517241	-116.91228965853
7.3166206896552	-117.91976680090
7.3219448275862	-119.95739843409
7.3272689655172	-123.11778436952
7.3325931034483	-124.90434686263
7.3379172413793	-126.29050671021
7.3432413793103	-130.93285586860
7.3485655172414	-133.44576263075
7.3538896551724	-134.07423789724
7.3592137931034	-139.48723884223
7.3645379310345	-141.26872836141
7.3698620689655	-143.62112820032
7.3751862068966	-146.63905520330
7.3805103448276	-148.62850577067
7.3858344827586	-150.60590863472
7.3911586206897	-156.52311381124
7.3964827586207	-159.40465468378
7.4018068965517	-161.97432045134
7.4071310344828	-167.48217163017
7.4124551724138	-167.37486085143
7.4177793103448	-173.45244215751
7.4231034482759	-173.02273058113
7.4284275862069	-179.26435976753
7.4337517241379	178.49319834215
7.4390758620690	171.83087803592
7.4444000000000	171.21293047148
7.4444444444444	172.15801962885
7.5888888888889	93.341767445467
7.7333333333333	53.836967562250
7.8777777777778	35.420227052881
8.0222222222222	25.008132707534
8.1666666666667	18.384357506289
8.3111111111111	14.146608155116
8.4555555555556	11.063266127908
8.6000000000000	8.7860438820836
8.6100000000000	8.5981844422877
9.3200000000000	3.0438409624616
10.030000000000	0.87920190997266
10.740000000000	0.19553919903402
11.450000000000	0.12058704379225
12.160000000000	0.30188733748027
12.870000000000	0.59694258408376
13.580000000000	0.94600120052594
14.290000000000	1.1592489596405
15.000000000000	-0.0079420537519756
