#Parameters = {n=0.125; Wp=7.5; Ws=15; h=0.762; phi=0; theta=0}
#"Frequency / GHz"	"SZmax(1),Zmax(1) (Wp=7.5) [Phase in Degrees]"
#----------------------------------------------------------------
8.0000000000000	13.834264950061
8.0040000000000	13.731082131868
8.0080000000000	13.627800448197
8.0120000000000	13.524419320858
8.0160000000000	13.420938167154
8.0200000000000	13.317356399838
8.0240000000000	13.213673427070
8.0280000000000	13.109888652369
8.0320000000000	13.006001474568
8.0360000000000	12.902011287771
8.0400000000000	12.797917481306
8.0440000000000	12.693719439674
8.0480000000000	12.589416542506
8.0520000000000	12.485008164514
8.0560000000000	12.380493675441
8.0600000000000	12.275872440014
8.0640000000000	12.171143817889
8.0680000000000	12.066307163609
8.0720000000000	11.961361826547
8.0760000000000	11.856307150853
8.0800000000000	11.751142475410
8.0840000000000	11.645867133770
8.0880000000000	11.540480454112
8.0920000000000	11.434981759178
8.0960000000000	11.329370366224
8.1000000000000	11.223645586964
8.1040000000000	11.117806727513
8.1080000000000	11.011853088328
8.1120000000000	10.905783964156
8.1160000000000	10.799598643970
8.1200000000000	10.693296410915
8.1240000000000	10.586876542244
8.1280000000000	10.480338309262
8.1320000000000	10.373680977262
8.1360000000000	10.266903805464
8.1400000000000	10.160006046953
8.1440000000000	10.052986948614
8.1480000000000	9.9458457510704
8.1520000000000	9.8385816886179
8.1560000000000	9.7311939891576
8.1600000000000	9.6236818741317
8.1640000000000	9.5160445584541
8.1680000000000	9.4082812504436
8.1720000000000	9.3003911517542
8.1760000000000	9.1923734573055
8.1800000000000	9.0842273552118
8.1840000000000	8.9759520267103
8.1880000000000	8.8675466460884
8.1920000000000	8.7590103806109
8.1960000000000	8.6503423904449
8.2000000000000	8.5415418285841
8.2040000000000	8.4326078407739
8.2080000000000	8.3235395654325
8.2120000000000	8.2143361335736
8.2160000000000	8.1049966687265
8.2200000000000	7.9955202868564
8.2240000000000	7.8859060962829
8.2280000000000	7.7761531975969
8.2320000000000	7.6662606835784
8.2360000000000	7.5562276391108
8.2400000000000	7.4460531410960
8.2440000000000	7.3357362583676
8.2480000000000	7.2252760516027
8.2520000000000	7.1146715732334
8.2560000000000	7.0039218673560
8.2600000000000	6.8930259696404
8.2640000000000	6.7819829072371
8.2680000000000	6.6707916986833
8.2720000000000	6.5594513538086
8.2760000000000	6.4479608736378
8.2800000000000	6.3363192502947
8.2840000000000	6.2245254669016
8.2880000000000	6.1125784974811
8.2920000000000	6.0004773068528
8.2960000000000	5.8882208505322
8.3000000000000	5.7758080746249
8.3040000000000	5.6632379157226
8.3080000000000	5.5505093007950
8.3120000000000	5.4376211470818
8.3160000000000	5.3245723619834
8.3200000000000	5.2113618429481
8.3240000000000	5.0979884773605
8.3280000000000	4.9844511424268
8.3320000000000	4.8707487050589
8.3360000000000	4.7568800217563
8.3400000000000	4.6428439384882
8.3440000000000	4.5286392905709
8.3480000000000	4.4142649025474
8.3520000000000	4.2997195880617
8.3560000000000	4.1850021497342
8.3600000000000	4.0701113790338
8.3640000000000	3.9550460561473
8.3680000000000	3.8398049498511
8.3720000000000	3.7243868173755
8.3760000000000	3.6087904042714
8.3800000000000	3.4930144442734
8.3840000000000	3.3770576591614
8.3880000000000	3.2609187586198
8.3920000000000	3.1445964400950
8.3960000000000	3.0280893886514
8.4000000000000	2.9113962768249
8.4040000000000	2.7945157644733
8.4080000000000	2.6774464986268
8.4120000000000	2.5601871133353
8.4160000000000	2.4427362295120
8.4200000000000	2.3250924547775
8.4240000000000	2.2072543833003
8.4280000000000	2.0892205956343
8.4320000000000	1.9709896585553
8.4360000000000	1.8525601248946
8.4400000000000	1.7339305333700
8.4440000000000	1.6150994084147
8.4480000000000	1.4960652600036
8.4520000000000	1.3768265834770
8.4560000000000	1.2573818593616
8.4600000000000	1.1377295531892
8.4640000000000	1.0178681153129
8.4680000000000	0.89779598072019
8.4720000000000	0.77751156884319
8.4760000000000	0.65701328336614
8.4800000000000	0.53629951203141
8.4840000000000	0.41536862644040
8.4880000000000	0.29421898185250
8.4920000000000	0.17284891698198
8.4960000000000	0.051256753790534
8.5000000000000	-0.070559202723058
8.5040000000000	-0.19260066473539
8.5080000000000	-0.31486936181584
8.5120000000000	-0.43736704114526
8.5160000000000	-0.56009546773950
8.5200000000000	-0.68305642467575
8.5240000000000	-0.80625171332219
8.5280000000000	-0.92968315357115
8.5320000000000	-1.0533525840761
8.5360000000000	-1.1772618624918
8.5400000000000	-1.3014128657189
8.5440000000000	-1.4258074901512
8.5480000000000	-1.5504476519274
8.5520000000000	-1.6753352871872
8.5560000000000	-1.8004723523298
8.5600000000000	-1.9258608242780
8.5640000000000	-2.0515027007456
8.5680000000000	-2.1774000005090
8.5720000000000	-2.3035547636836
8.5760000000000	-2.4299690520032
8.5800000000000	-2.5566449491054
8.5840000000000	-2.6835845608201
8.5880000000000	-2.8107900154642
8.5920000000000	-2.9382634641381
8.5960000000000	-3.0660070810308
8.6000000000000	-3.1940230637257
8.6040000000000	-3.3223136335150
8.6080000000000	-3.4508810357163
8.6120000000000	-3.5797275399954
8.6160000000000	-3.7088554406947
8.6200000000000	-3.8382670571665
8.6240000000000	-3.9679647341105
8.6280000000000	-4.0979508419187
8.6320000000000	-4.2282277770245
8.6360000000000	-4.3587979622587
8.6400000000000	-4.4896638472092
8.6440000000000	-4.6208279085887
