#Parameters = {Cylinder_radius=30000; Pe=30; Wp=7.5; Ws=300; a=22.86; a1=47; b=10.16; b1=37; copper=0; distance=260.762; focal=260; h=0.762; lam=20; radius=300000; t=0.2}
#"Theta / deg"	"Directivity,Phi=90"
#----------------------------------
-180.00000000000	-4.9480301192591
-179.00000000000	-2.6330411541437
-178.00000000000	-1.0875626515229
-177.00000000000	-0.28810192948037
-176.00000000000	-0.19852904705789
-175.00000000000	-0.79407425926379
-174.00000000000	-1.9962761418260
-173.00000000000	-3.4501148230165
-172.00000000000	-4.1854636858172
-171.00000000000	-3.4507543923575
-170.00000000000	-2.0125811266017
-169.00000000000	-0.75200167471766
-168.00000000000	0.065514731895585
-167.00000000000	0.43585454589002
-166.00000000000	0.39043373311818
-165.00000000000	-0.080269390031881
-164.00000000000	-1.0547455617023
-163.00000000000	-2.6708655795736
-162.00000000000	-5.0141555282305
-161.00000000000	-7.3734590401069
-160.00000000000	-7.1189197926784
-159.00000000000	-4.6762729370634
-158.00000000000	-2.5670371233531
-157.00000000000	-1.3308243231810
-156.00000000000	-0.89597382378916
-155.00000000000	-1.1249969877218
-154.00000000000	-1.8438102191423
-153.00000000000	-2.7928375525969
-152.00000000000	-3.6716552952190
-151.00000000000	-4.4005935956798
-150.00000000000	-5.3125888680158
-149.00000000000	-7.0174739880758
-148.00000000000	-10.464714312747
-147.00000000000	-18.610305101812
-146.00000000000	-19.543524721202
-145.00000000000	-11.032000401331
-144.00000000000	-7.7138024133513
-143.00000000000	-6.3524766656508
-142.00000000000	-5.8561234008435
-141.00000000000	-5.2529805663142
-140.00000000000	-4.0051656868252
-139.00000000000	-2.5529291246077
-138.00000000000	-1.5066080332714
-137.00000000000	-1.1146820571400
-136.00000000000	-1.3480790468638
-135.00000000000	-1.9344316198656
-134.00000000000	-2.3499214522908
-133.00000000000	-2.2102860476087
-132.00000000000	-1.7898776295935
-131.00000000000	-1.6350400153486
-130.00000000000	-2.0523605316798
-129.00000000000	-3.0291951065370
-128.00000000000	-4.1549293229423
-127.00000000000	-4.7009610166290
-126.00000000000	-4.5450368041306
-125.00000000000	-4.4246437858238
-124.00000000000	-4.9373704087316
-123.00000000000	-6.1735749755351
-122.00000000000	-7.5530976983490
-121.00000000000	-7.9330582095619
-120.00000000000	-7.4505642187597
-119.00000000000	-7.4134903652214
-118.00000000000	-8.6094915136387
-117.00000000000	-11.185719494794
-116.00000000000	-12.908945025989
-115.00000000000	-10.620698802831
-114.00000000000	-8.2892645510967
-113.00000000000	-7.4958769115952
-112.00000000000	-8.0779667944663
-111.00000000000	-9.1146496560939
-110.00000000000	-8.5342816192000
-109.00000000000	-6.5111715990407
-108.00000000000	-4.9704203256982
-107.00000000000	-4.5501942610421
-106.00000000000	-5.2706281017341
-105.00000000000	-6.7718238151894
-104.00000000000	-7.7348076554629
-103.00000000000	-7.0038075606515
-102.00000000000	-5.9465944587066
