#Parameters = {Cylinder_radius=2610; Pe=30; Wp=7.5; Ws=300; a=22.86; a1=47; b=10.16; b1=37; copper=0; distance=260.762; focal=260; h=0.762; lam=20; radius=300000; t=0.2}
#"Theta / deg"	"Directivity,Phi=90"
#----------------------------------
-180.00000000000	0.48993403381690
-179.00000000000	-1.1122141155713
-178.00000000000	-4.0524294342725
-177.00000000000	-8.6199091786427
-176.00000000000	-9.5017402301669
-175.00000000000	-4.8377181403352
-174.00000000000	-1.5662357884388
-173.00000000000	0.27298638598938
-172.00000000000	1.0477356251162
-171.00000000000	0.89193917886561
-170.00000000000	-0.21483272258550
-169.00000000000	-2.3650727627523
-168.00000000000	-5.1943506800524
-167.00000000000	-5.8321043842380
-166.00000000000	-3.3006541394758
-165.00000000000	-1.0150733171240
-164.00000000000	0.16057269223383
-163.00000000000	0.28000007852225
-162.00000000000	-0.56504266893263
-161.00000000000	-2.2321048885938
-160.00000000000	-4.1579585561455
-159.00000000000	-5.0029772519517
-158.00000000000	-4.4448368115384
-157.00000000000	-3.8379833484107
-156.00000000000	-3.9423230526611
-155.00000000000	-4.6944354606315
-154.00000000000	-5.3203646143881
-153.00000000000	-4.8243863831052
-152.00000000000	-3.6128034082586
-151.00000000000	-2.7596785650912
-150.00000000000	-2.8060680511405
-149.00000000000	-4.0174250592301
-148.00000000000	-6.7316859265188
-147.00000000000	-11.445202399509
-146.00000000000	-15.213622092114
-145.00000000000	-12.275255336063
-144.00000000000	-10.640658036815
-143.00000000000	-11.332711354479
-142.00000000000	-12.215542135238
-141.00000000000	-9.1610194731295
-140.00000000000	-5.4472816258512
-139.00000000000	-3.1080297917004
-138.00000000000	-2.0464803646139
-137.00000000000	-1.9704848031179
-136.00000000000	-2.4162926111276
-135.00000000000	-2.5601281205408
-134.00000000000	-1.8517006628949
-133.00000000000	-0.83823029909246
-132.00000000000	-0.26932073996485
-131.00000000000	-0.45880320386051
-130.00000000000	-1.3631705220195
-129.00000000000	-2.4684000458040
-128.00000000000	-2.7768101893590
-127.00000000000	-2.1491155130735
-126.00000000000	-1.6126248885396
-125.00000000000	-1.8950471831991
-124.00000000000	-3.2265215021354
-123.00000000000	-5.2987103890960
-122.00000000000	-6.3600242276218
-121.00000000000	-5.2263435805282
-120.00000000000	-4.0232745147902
-119.00000000000	-4.0440490722133
-118.00000000000	-5.6532273892977
-117.00000000000	-8.8474088522325
-116.00000000000	-10.340718146396
-115.00000000000	-7.4118992020325
-114.00000000000	-5.2774573751866
-113.00000000000	-5.0221123315633
-112.00000000000	-6.6536504806579
-111.00000000000	-9.6004980622641
-110.00000000000	-9.0318103921448
-109.00000000000	-5.5353300194706
-108.00000000000	-3.4446877499367
-107.00000000000	-3.0523231054425
-106.00000000000	-4.2716720417318
-105.00000000000	-6.9425403793970
-104.00000000000	-8.8484692384363
-103.00000000000	-6.9562086907200
-102.00000000000	-5.0074291827804
-101.00000000000	-4.7314608319757
-100.00000000000	-6.4149260587477
-99.000000000000	-10.757957810147
-98.000000000000	-17.384023381661
-97.000000000000	-13.097179648635
-96.000000000000	-10.212624501168
-95.000000000000	-10.450002027093
-94.000000000000	-11.179388388604
-93.000000000000	-7.8012205507485
-92.000000000000	-3.9384428111220
-91.000000000000	-1.6604788631183
-90.000000000000	-0.88826253337143
-89.000000000000	-1.5228101904249
-88.000000000000	-3.6397122394336
-87.000000000000	-7.3341921504314
-86.000000000000	-10.938390076477
-85.000000000000	-10.552590606864
-84.000000000000	-10.191878311365
-83.000000000000	-12.866745932896
-82.000000000000	-18.132090424944
-81.000000000000	-11.456404156768
-80.000000000000	-6.7134829335219
-79.000000000000	-4.8039154610796
-78.000000000000	-4.8860566814982
-77.000000000000	-6.6488650590067
-76.000000000000	-8.6522305972416
-75.000000000000	-7.1362542651619
-74.000000000000	-4.4451419233267
-73.000000000000	-3.0921563074633
-72.000000000000	-3.3197574907182
-71.000000000000	-5.1959651296971
-70.000000000000	-8.5122689171474
-69.000000000000	-9.6060025379534
-68.000000000000	-6.8597594355857
-67.000000000000	-5.0940818547483
-66.000000000000	-5.1590363924035
-65.000000000000	-7.0517965698104
-64.000000000000	-9.9314400389579
-63.000000000000	-9.0281860989502
-62.000000000000	-5.8732340867752
-61.000000000000	-4.1228874456235
-60.000000000000	-3.9405949791230
-59.000000000000	-4.9996888567520
-58.000000000000	-6.1855990472355
-57.000000000000	-5.3949333420036
-56.000000000000	-3.3804295741854
-55.000000000000	-1.9675006264486
-54.000000000000	-1.5742446036945
-53.000000000000	-2.0221635403924
-52.000000000000	-2.6664884158734
-51.000000000000	-2.4953417272967
-50.000000000000	-1.4666448695936
-49.000000000000	-0.52977677872837
-48.000000000000	-0.25948670223637
-47.000000000000	-0.74526873935287
-46.000000000000	-1.7287330982838
