#Parameters = {Cylinder_radius=210; Pe=30; Wp=7.5; Ws=300; a=22.86; a1=47; b=10.16; b1=37; copper=0.0035; distance=230.7655; focal=210; h=0.762; lam=20; radius=0; t=0.2}
#"Theta / deg"	"Directivity,Phi=90"
#----------------------------------
-122.00000000000	-8.3103472034641
-121.00000000000	-5.8205735201170
-120.00000000000	-4.1609656263901
-119.00000000000	-3.8088488079484
-118.00000000000	-4.6964368469333
-117.00000000000	-6.3829490549518
-116.00000000000	-7.1406341273777
-115.00000000000	-5.7836746584357
-114.00000000000	-4.2599673218526
-113.00000000000	-3.7944528327445
-112.00000000000	-4.6689106686272
-111.00000000000	-7.0258480078392
-110.00000000000	-10.502631295532
-109.00000000000	-11.644189241627
-108.00000000000	-9.8169673428898
-107.00000000000	-9.0375961992639
-106.00000000000	-9.9968308782686
-105.00000000000	-11.638670149661
-104.00000000000	-10.772373076059
-103.00000000000	-8.4057229736960
-102.00000000000	-7.1778395666200
-101.00000000000	-7.4727954436954
-100.00000000000	-8.5660290607408
-99.000000000000	-7.8445166292340
-98.000000000000	-5.0710330222527
-97.000000000000	-2.7938450958901
-96.000000000000	-1.7294672932543
-95.000000000000	-1.9101245770902
-94.000000000000	-3.3741357187018
-93.000000000000	-6.2789679990499
-92.000000000000	-10.798996168822
-91.000000000000	-15.807867887164
-90.000000000000	-17.460192418866
-89.000000000000	-15.846067861170
-88.000000000000	-10.915096616532
-87.000000000000	-6.3696060990149
-86.000000000000	-3.4219226051315
-85.000000000000	-1.9154256523880
-84.000000000000	-1.6914493310779
-83.000000000000	-2.7079783146362
-82.000000000000	-4.9351714953237
-81.000000000000	-7.7114556401038
-80.000000000000	-8.5652933683439
-79.000000000000	-7.5328150744054
-78.000000000000	-7.2376949368490
-77.000000000000	-8.4868561385975
-76.000000000000	-10.964089872574
-75.000000000000	-11.899470748791
-74.000000000000	-10.078501516742
-73.000000000000	-8.9574341734363
-72.000000000000	-9.6015783716531
-71.000000000000	-11.402805494111
-70.000000000000	-10.574617781880
-69.000000000000	-7.1729739767320
-68.000000000000	-4.7567992114842
-67.000000000000	-3.8057007919394
