#Parameters = {Cylinder_radius=2610; Pe=30; Wp=7.5; Ws=300; a=22.86; a1=47; b=10.16; b1=37; copper=0.0035; distance=230.7655; focal=210; h=0.762; lam=20; radius=0; t=0.2}
#"Theta / deg"	"Directivity,Phi=90"
#----------------------------------
-180.00000000000	-3.5383923498050
-179.00000000000	-3.2768644245657
-178.00000000000	-3.4057819567912
-177.00000000000	-3.8265423320226
-176.00000000000	-4.3209847200933
-175.00000000000	-4.5016662178175
-174.00000000000	-4.0218623715809
-173.00000000000	-2.9699747236200
-172.00000000000	-1.7630578960040
-171.00000000000	-0.74875017863912
-170.00000000000	-0.10777917378016
-169.00000000000	0.076941036919097
-168.00000000000	-0.23223789070133
-167.00000000000	-1.0244938300929
-166.00000000000	-2.1574856961287
-165.00000000000	-3.1685723065390
-164.00000000000	-3.3321218812651
-163.00000000000	-2.5550014934354
-162.00000000000	-1.5405476168963
-161.00000000000	-0.83879220987553
-160.00000000000	-0.63405559603906
-159.00000000000	-0.92188179118225
-158.00000000000	-1.5869157789585
-157.00000000000	-2.4037154614150
-156.00000000000	-3.0933854099928
-155.00000000000	-3.5380483770264
-154.00000000000	-3.9356187688698
-153.00000000000	-4.6502987398151
-152.00000000000	-6.0369077383219
-151.00000000000	-8.4294801292583
-150.00000000000	-11.923516314557
-149.00000000000	-13.835633232877
-148.00000000000	-11.132235657397
-147.00000000000	-8.4427907869313
-146.00000000000	-6.9945258039213
-145.00000000000	-6.5162171033216
-144.00000000000	-6.5489634662513
-143.00000000000	-6.4255737718834
-142.00000000000	-5.6616619379358
-141.00000000000	-4.5333521676678
-140.00000000000	-3.6095164119114
-139.00000000000	-3.1934381110470
-138.00000000000	-3.3218446628426
-137.00000000000	-3.8109651463942
-136.00000000000	-4.2342440705472
-135.00000000000	-4.1561578304963
-134.00000000000	-3.6653483597541
-133.00000000000	-3.2701517632205
-132.00000000000	-3.3659708425126
-131.00000000000	-4.0817691434261
-130.00000000000	-5.2292043502695
-129.00000000000	-6.1388850330705
-128.00000000000	-6.1257051227145
-127.00000000000	-5.6182745589628
-126.00000000000	-5.5164157726926
-125.00000000000	-6.3175748936824
-124.00000000000	-8.1789379559271
-123.00000000000	-10.587818180380
-122.00000000000	-11.245325028179
-121.00000000000	-9.7743678961693
-120.00000000000	-8.7520804476177
-119.00000000000	-9.1696331495206
-118.00000000000	-11.410047041507
-117.00000000000	-15.568899747857
-116.00000000000	-15.849141641976
-115.00000000000	-11.856377225834
-114.00000000000	-9.8392321703897
-113.00000000000	-9.9448843578876
-112.00000000000	-12.154169892468
-111.00000000000	-15.276168444029
-110.00000000000	-12.754401749266
-109.00000000000	-8.9739888413121
-108.00000000000	-7.0976160471248
-107.00000000000	-6.9452416457296
-106.00000000000	-8.3970089418189
-105.00000000000	-11.128042526434
-104.00000000000	-12.315584441483
-103.00000000000	-10.174178929236
-102.00000000000	-8.5713144811571
-101.00000000000	-8.7721248330704
-100.00000000000	-11.273129731608
-99.000000000000	-17.973291235118
-98.000000000000	-20.994656766190
-97.000000000000	-13.043112894694
-96.000000000000	-10.316746994822
-95.000000000000	-10.035827628520
-94.000000000000	-10.774880764816
-93.000000000000	-10.044333166537
-92.000000000000	-7.6230672524742
-91.000000000000	-5.7049670944397
-90.000000000000	-5.0144709259451
-89.000000000000	-5.6212554202109
-88.000000000000	-7.4612006860098
-87.000000000000	-9.8792603118805
-86.000000000000	-10.750728705195
-85.000000000000	-10.048784288493
-84.000000000000	-10.254319483848
-83.000000000000	-12.837355302115
-82.000000000000	-20.572002168883
-81.000000000000	-18.576730387576
-80.000000000000	-11.443357329018
-79.000000000000	-8.7737913393512
-78.000000000000	-8.4458882598913
-77.000000000000	-9.9328337710114
-76.000000000000	-12.125970022956
-75.000000000000	-11.236252184186
-74.000000000000	-8.5083711286566
-73.000000000000	-6.9632501332428
-72.000000000000	-7.0087208516796
-71.000000000000	-8.7566510075646
-70.000000000000	-12.401493156928
-69.000000000000	-15.250289013297
-68.000000000000	-12.322647953839
-67.000000000000	-9.9869151669012
-66.000000000000	-9.7418500002920
-65.000000000000	-11.592130488107
-64.000000000000	-15.425523953080
-63.000000000000	-15.562896458903
-62.000000000000	-11.433907237625
-61.000000000000	-9.0753726591007
-60.000000000000	-8.5295615162805
-59.000000000000	-9.4155658963338
-58.000000000000	-10.839296270622
-57.000000000000	-10.393548939643
-56.000000000000	-8.0978227723304
-55.000000000000	-6.2065223292419
-54.000000000000	-5.3367794930517
-53.000000000000	-5.3666564907683
-52.000000000000	-5.8332221270533
-51.000000000000	-5.8777165876251
-50.000000000000	-5.0215642808722
-49.000000000000	-3.8756430519541
-48.000000000000	-3.1172630627723
-47.000000000000	-2.9596489260802
-46.000000000000	-3.2954597086612
-45.000000000000	-3.7574079611819
-44.000000000000	-3.8499219660571
-43.000000000000	-3.4429623588948
-42.000000000000	-2.9306292159054
-41.000000000000	-2.7387785312612
-40.000000000000	-3.0623874422459
-39.000000000000	-3.8777189430667
-38.000000000000	-4.9122966060783
-37.000000000000	-5.6452278408889
-36.000000000000	-5.7788971235405
-35.000000000000	-5.7055828399124
-34.000000000000	-6.0424152961824
-33.000000000000	-7.2138215342480
-32.000000000000	-9.4474434813591
-31.000000000000	-12.084220297583
-30.000000000000	-11.577086936713
-29.000000000000	-8.5072140288976
-28.000000000000	-6.0437761766461
-27.000000000000	-4.5370944816132
-26.000000000000	-3.7328701650769
-25.000000000000	-3.3072451233912
-24.000000000000	-2.9059511934420
-23.000000000000	-2.2891973006145
-22.000000000000	-1.5099235505090
-21.000000000000	-0.82392010528879
-20.000000000000	-0.46928525311491
-19.000000000000	-0.57997607230678
-18.000000000000	-1.1825242017640
-17.000000000000	-2.1422199346460
-16.000000000000	-3.0054394212062
-15.000000000000	-3.0709780492660
-14.000000000000	-2.2240273752819
-13.000000000000	-1.1119155349503
-12.000000000000	-0.26374099244632
-11.000000000000	0.12753929871519
-10.000000000000	0.029959144144386
-9.0000000000000	-0.52961230605368
-8.0000000000000	-1.4817048048624
-7.0000000000000	-2.6714819752594
-6.0000000000000	-3.7845479280230
-5.0000000000000	-4.3904265249467
-4.0000000000000	-4.3092810068883
-3.0000000000000	-3.8328036256406
-2.0000000000000	-3.3708593671102
-1.0000000000000	-3.1735312880408
0.0000000000000	-3.3550065962387
1.0000000000000	-3.9759766406055
2.0000000000000	-5.0943778519629
3.0000000000000	-6.7698791447283
4.0000000000000	-8.8699581561157
5.0000000000000	-10.107805261586
6.0000000000000	-8.4393159459431
7.0000000000000	-5.4712321715818
8.0000000000000	-2.9673594078180
9.0000000000000	-1.2620688842405
10.000000000000	-0.38417826339283
11.000000000000	-0.40034913711731
12.000000000000	-1.5244972103944
13.000000000000	-4.3519293653997
14.000000000000	-10.942344462943
15.000000000000	-12.965381578152
16.000000000000	-4.0508382934143
17.000000000000	0.18417015097564
18.000000000000	2.4347395039158
19.000000000000	3.4226337851415
20.000000000000	3.3539685318347
21.000000000000	2.1894120591426
22.000000000000	-0.39484049303233
23.000000000000	-5.4639764258250
24.000000000000	-14.856730180969
25.000000000000	-6.8810204294190
26.000000000000	-2.0226926496511
27.000000000000	0.11396056050737
28.000000000000	0.74390605457458
29.000000000000	0.22479014426596
30.000000000000	-1.3804945890653
31.000000000000	-4.0686970932518
32.000000000000	-6.6584533222710
33.000000000000	-5.1598600544490
34.000000000000	-1.6479752107202
35.000000000000	1.1391336690104
36.000000000000	3.0473611089803
