#Parameters = {tetrahedral=30; Wp=7.37499975; Ws=15; h=0.762; n=0.125; phi=0; theta=0}
#"Frequency / GHz"	"SZmax(1),Zmax(1) (5) [Phase in Degrees]"
#-----------------------------------------------------------
8.0000000000000	14.617512652953
8.0040000000000	14.517764891734
8.0080000000000	14.417937963682
8.0120000000000	14.318031439531
8.0160000000000	14.218044886904
8.0200000000000	14.117977870288
8.0240000000000	14.017829951002
8.0280000000000	13.917600687173
8.0320000000000	13.817289633700
8.0360000000000	13.716896342234
8.0400000000000	13.616420361138
8.0440000000000	13.515861235467
8.0480000000000	13.415218506930
8.0520000000000	13.314491713863
8.0560000000000	13.213680391197
8.0600000000000	13.112784070429
8.0640000000000	13.011802279587
8.0680000000000	12.910734543199
8.0720000000000	12.809580382262
8.0760000000000	12.708339314208
8.0800000000000	12.607010852872
8.0840000000000	12.505594508457
8.0880000000000	12.404089787502
8.0920000000000	12.302496192846
8.0960000000000	12.200813223595
8.1000000000000	12.099040375087
8.1040000000000	11.997177138855
8.1080000000000	11.895223002592
8.1120000000000	11.793177450116
8.1160000000000	11.691039961333
8.1200000000000	11.588810012199
8.1240000000000	11.486487074683
8.1280000000000	11.384070616730
8.1320000000000	11.281560102222
8.1360000000000	11.178954990940
8.1400000000000	11.076254738524
8.1440000000000	10.973458796433
8.1480000000000	10.870566611907
8.1520000000000	10.767577627926
8.1560000000000	10.664491283167
8.1600000000000	10.561307011965
8.1640000000000	10.458024244269
8.1680000000000	10.354642405603
8.1720000000000	10.251160917018
8.1760000000000	10.147579195054
8.1800000000000	10.043896651693
8.1840000000000	9.9401126943144
8.1880000000000	9.8362267256519
8.1920000000000	9.7322381437473
8.1960000000000	9.6281463419043
8.2000000000000	9.5239507086422
8.2040000000000	9.4196506276488
8.2080000000000	9.3152454777329
8.2120000000000	9.2107346327765
8.2160000000000	9.1061174616853
8.2200000000000	9.0013933283400
8.2240000000000	8.8965615915463
8.2280000000000	8.7916216049845
8.2320000000000	8.6865727171582
8.2360000000000	8.5814142713426
8.2400000000000	8.4761456055330
8.2440000000000	8.3707660523904
8.2480000000000	8.2652749391895
8.2520000000000	8.1596715877634
8.2560000000000	8.0539553144493
8.2600000000000	7.9481254300328
8.2640000000000	7.8421812396918
8.2680000000000	7.7361220429395
8.2720000000000	7.6299471335670
8.2760000000000	7.5236557995850
8.2800000000000	7.4172473231646
8.2840000000000	7.3107209805781
8.2880000000000	7.2040760421381
8.2920000000000	7.0973117721367
8.2960000000000	6.9904274287834
8.3000000000000	6.8834222641426
8.3040000000000	6.7762955240695
8.3080000000000	6.6690464481474
8.3120000000000	6.5616742696207
8.3160000000000	6.4541782153307
8.3200000000000	6.3465575056483
8.3240000000000	6.2388113544060
8.3280000000000	6.1309389688310
8.3320000000000	6.0229395494743
8.3360000000000	5.9148122901422
8.3400000000000	5.8065563778245
8.3440000000000	5.6981709926227
8.3480000000000	5.5896553076780
8.3520000000000	5.4810084890965
8.3560000000000	5.3722296958761
8.3600000000000	5.2633180798296
8.3640000000000	5.1542727855090
8.3680000000000	5.0450929501280
8.3720000000000	4.9357777034837
8.3760000000000	4.8263261678763
8.3800000000000	4.7167374580299
8.3840000000000	4.6070106810103
8.3880000000000	4.4971449361423
8.3920000000000	4.3871393149269
8.3960000000000	4.2769929009556
8.4000000000000	4.1667047698257
8.4040000000000	4.0562739890524
8.4080000000000	3.9456996179817
8.4120000000000	3.8349807077006
8.4160000000000	3.7241163009470
8.4200000000000	3.6131054320185
8.4240000000000	3.5019471266791
8.4280000000000	3.3906404020656
8.4320000000000	3.2791842665930
8.4360000000000	3.1675777198569
8.4400000000000	3.0558197525369
8.4440000000000	2.9439093462967
8.4480000000000	2.8318454736854
8.4520000000000	2.7196270980337
