#Parameters = {Cylinder_radius=30000; Pe=30; Wp=7.5; Ws=300; a=22.86; a1=47; b=10.16; b1=37; copper=0.0035; distance=260.762; focal=210; h=0.762; lam=20; radius=300000; t=0.2}
#"Theta / deg"	"Directivity,Phi=90"
#----------------------------------
-180.00000000000	-2.0411663627169
-179.00000000000	-2.1392881026660
-178.00000000000	-2.6047723412886
-177.00000000000	-3.2888740735783
-176.00000000000	-3.9539202701691
-175.00000000000	-4.2898417683695
-174.00000000000	-4.0973722172090
-173.00000000000	-3.4689799193283
-172.00000000000	-2.6760092811675
-171.00000000000	-1.9560729302006
-170.00000000000	-1.4510757127830
-169.00000000000	-1.2320531442717
-168.00000000000	-1.3171818690664
-167.00000000000	-1.6611699749479
-166.00000000000	-2.1181377753288
-165.00000000000	-2.4340376695755
-164.00000000000	-2.3867145815098
-163.00000000000	-2.0215336370875
-162.00000000000	-1.6231740885889
-161.00000000000	-1.4765767652652
-160.00000000000	-1.7495914330257
-159.00000000000	-2.4865549183104
-158.00000000000	-3.5732095942714
-157.00000000000	-4.6179187351710
-156.00000000000	-5.0345946934462
-155.00000000000	-4.7220888651412
-154.00000000000	-4.2568830867173
-153.00000000000	-4.1860262489063
-152.00000000000	-4.7796929744773
-151.00000000000	-6.1119153349747
-150.00000000000	-7.8917644170455
-149.00000000000	-8.8287519052007
-148.00000000000	-7.7954457512913
-147.00000000000	-6.1323819294827
-146.00000000000	-5.0168352137958
-145.00000000000	-4.6680516116195
-144.00000000000	-4.9350171315892
-143.00000000000	-5.3900633671751
-142.00000000000	-5.4054649577379
-141.00000000000	-4.7811552844668
-140.00000000000	-4.0130879936864
-139.00000000000	-3.6065253083979
-138.00000000000	-3.7481022828433
-137.00000000000	-4.3436575270883
-136.00000000000	-4.9883029259701
-135.00000000000	-5.1051690809435
-134.00000000000	-4.6229989433097
-133.00000000000	-4.1107748571908
-132.00000000000	-4.0837814205782
-131.00000000000	-4.7458054232711
-130.00000000000	-5.9710581710639
-129.00000000000	-7.0793798753420
-128.00000000000	-7.1415653642131
-127.00000000000	-6.5010032874244
-126.00000000000	-6.2354707307586
-125.00000000000	-6.9296260296376
-124.00000000000	-8.7958383330294
-123.00000000000	-11.533635830543
-122.00000000000	-12.871412930355
-121.00000000000	-11.511447284342
-120.00000000000	-10.385780950755
-119.00000000000	-10.767968579860
-118.00000000000	-13.007538350493
-117.00000000000	-16.680290321277
-116.00000000000	-15.790941411357
-115.00000000000	-12.184141784771
-114.00000000000	-10.487037941398
-113.00000000000	-10.816827561703
-112.00000000000	-13.101190093180
-111.00000000000	-15.044442543376
-110.00000000000	-11.769536490786
-109.00000000000	-8.4522918260350
-108.00000000000	-6.9103628490806
-107.00000000000	-7.0136861838511
-106.00000000000	-8.7330440628702
-105.00000000000	-11.742406312151
-104.00000000000	-12.654677936561
-103.00000000000	-10.178080606170
-102.00000000000	-8.6008703102041
