Phase Shift (degrees),Phase Shift (degrees),Phase Shift (degrees),Phase Shift (degrees),Phase Shift (degrees),Phase Shift (degrees),Phase Shift (degrees),Phase Shift (degrees),Phase Shift (degrees),Phase Shift (degrees),Phase Shift (degrees),Phase Shift (degrees),Phase Shift (degrees),Phase Shift (degrees),Phase Shift (degrees),Phase Shift (degrees),Phase Shift (degrees),Phase Shift (degrees),Phase Shift (degrees),Phase Shift (degrees),Phase Shift (degrees)
33.99158426963368,-132.49419386648242,67.8680578700023,-84.45798222583062,130.98195326718587,-5.379079118777554,-133.14228226507248,108.04326092853216,-1.5327052077605003,-101.65352790850238,167.81487466087356,86.91790066292697,15.610151935096837,-46.24245335718206,-98.8565679793578,-142.52193626163444,-177.5894753042412,155.54201777416984,136.43948644143256,124.64866327637446,119.70586998392082
-46.779908152198004,144.77768703746733,-16.736867407756563,-170.82954935530188,42.98629870391187,-94.822967712631,136.17417951815696,16.35908128937126,-93.95226241360479,165.47710025996184,74.79409828592043,-5.95147116860926,-76.80940527074745,-137.92663299634296,170.45989380387164,128.03417514451166,94.41487013248434,69.17045064469812,51.83456116367324,41.92054418032467,38.934377562088684
-120.70337070142614,68.97741830652922,-94.34347376290589,109.85792706525581,-37.89941105341222,-177.1155944534471,52.67415551458316,-68.1176823823348,-179.14806967457525,79.84094987379194,-10.990357888176732,-91.58762155477962,-162.00521253171792,137.59660333195097,86.95986980029738,45.741548403696015,13.52916037515979,-10.142072934743283,-25.77204519147608,-33.879724550612536,-34.989084987139904
172.6848749170258,0.5990220732687703,-164.42778722045887,38.15733628131875,-111.09511955646167,108.34776890145758,-23.01619298335072,-144.74336854886724,103.53650328470167,2.1026269684184626,-88.87119609287856,-169.3259444601531,120.679360427559,60.97091716541854,11.269521302363955,-28.7950882413993,-59.66654812789011,-81.8426637186808,-95.85635864902952,-102.25812078387344,-101.6008393686875
113.83909612432944,-59.87084415323079,133.52916037515888,-25.3808338421768,-176.0204242664986,42.174950650922256,-90.26500705637363,147.13364766758968,34.7678147744673,-67.0624123216985,-158.1698833921564,121.50901624972994,51.910671917324635,-7.152066618124081,-55.97929277065941,-94.96790649193463,-124.59185283792613,-145.3808338421759,-157.89941105341177,-162.727987010373,-160.44661816138432
63.19234945264998,-111.96582485548834,80.02726268940978,-80.22365966997131,127.88923636520758,-15.04023017443933,-148.4526310199367,88.15441622359731,-24.79705318903052,-126.98714969774164,141.78396522915,61.58427887368725,-7.654196046173183,-66.13129806211646,-114.16691673422156,-152.18308731729576,179.31780779378005,159.7763403300296,148.59869126083913,145.17703228736855,148.90663516693712
21.14343202064174,-155.2543919104146,35.531298371725825,-125.87333584049338,81.16356437219747,-62.73834530565,163.00679857352588,38.92682237200734,-74.53363422586972,-177.03680813737265,91.62862628526364,11.53462043405625,-57.39077708301238,-115.35889191370688,-162.70748714075899,160.11879755149266,132.59213580076948,114.12666415950662,104.10272694315427,101.8884652324432,106.85771773492843
-11.956739071468746,170.64479557508503,0.4537461890936356,-161.88622569172458,44.27650481044702,-100.41701234783159,124.64110808629266,-4.547473508864641e-13,-113.87668422739898,143.36390329624237,51.94280572456864,-28.06466813232919,-96.73382708454164,-154.28571428571422,158.92682237200734,122.44013050931153,95.70507623901858,78.11377430827588,69.02517476052344,67.78765271794282,73.7575466428184
-35.818419493475176,146.04773758639476,-24.862355388861488,172.1079318561301,17.62495763160996,-127.65419604617409,96.89493720270139,-28.162398513113203,-142.34812557998293,114.70208001817446,23.216668002976803,-56.7264914103971,-125.2052684371256,177.55188720117258,131.18065148841606,95.20294681096948,69.05352906018197,52.10793185613056,43.70907318256832,43.19059472925301,49.89586622081197
-50.224956479930825,131.19138597424762,-40.15905012620806,156.38834125413223,1.5090162497294841,-144.13000684059898,80.10604900548469,-45.207525275186526,-159.58363426753976,97.349233767437,5.824173433701162,-74.07933766113456,-142.44077712468243,160.5067604390997,114.39176329119937,78.72713601654414,52.9375876783015,36.38834125413314,28.412378445221293,28.334243117105416,35.489329234355864
-55.04226819626956,126.22266971449153,-45.27607217389141,151.12880390712098,-3.8841691064421866,-149.6446061994211,74.48576914240584,-50.91433713257402,-165.3547605684521,91.53845914798694,0.0,-79.89011228058416,-148.21190342559476,154.79994858171176,108.77148342812097,73.21253665772156,47.54440232212937,31.128803907121437,23.295356397537944,23.365526857349323,30.672017518016673
-50.224956479930825,131.19138597424762,-40.15905012620806,156.38834125413223,1.5090162497294841,-144.13000684059898,80.10604900548469,-45.207525275186526,-159.58363426753976,97.349233767437,5.824173433701162,-74.07933766113456,-142.44077712468243,160.5067604390997,114.39176329119937,78.72713601654414,52.9375876783015,36.38834125413314,28.412378445221293,28.334243117105416,35.489329234355864
-35.818419493475176,146.04773758639476,-24.862355388861488,172.1079318561301,17.62495763160996,-127.65419604617409,96.89493720270139,-28.162398513113203,-142.34812557998293,114.70208001817446,23.216668002976803,-56.7264914103971,-125.2052684371256,177.55188720117258,131.18065148841606,95.20294681096948,69.05352906018197,52.10793185613056,43.70907318256832,43.19059472925301,49.89586622081197
-11.956739071468746,170.64479557508503,0.4537461890936356,-161.88622569172458,44.27650481044702,-100.41701234783159,124.64110808629266,-4.547473508864641e-13,-113.87668422739898,143.36390329624237,51.94280572456864,-28.06466813232919,-96.73382708454164,-154.28571428571422,158.92682237200734,122.44013050931153,95.70507623901858,78.11377430827588,69.02517476052253,67.78765271794282,73.7575466428184
21.14343202064174,-155.2543919104146,35.531298371725825,-125.87333584049338,81.16356437219747,-62.73834530565,163.00679857352588,38.92682237200734,-74.53363422586972,-177.03680813737265,91.62862628526364,11.53462043405625,-57.39077708301238,-115.35889191370688,-162.70748714075899,160.11879755149266,132.59213580076948,114.12666415950662,104.10272694315427,101.8884652324432,106.85771773492843
63.19234945264998,-111.96582485548834,80.02726268940978,-80.22365966997131,127.88923636520758,-15.04023017443933,-148.4526310199367,88.15441622359731,-24.79705318903052,-126.98714969774164,141.78396522915,61.58427887368725,-7.654196046173183,-66.13129806211646,-114.16691673422156,-152.18308731729576,179.31780779378005,159.7763403300296,148.59869126083913,145.17703228736855,148.90663516693712
113.83909612432944,-59.87084415323079,133.52916037515888,-25.3808338421768,-176.0204242664986,42.174950650922256,-90.26500705637363,147.13364766758968,34.7678147744673,-67.0624123216985,-158.1698833921564,121.50901624972994,51.910671917324635,-7.152066618124081,-55.97929277065941,-94.96790649193463,-124.59185283792613,-145.3808338421759,-157.89941105341177,-162.727987010373,-160.44661816138432
172.6848749170258,0.5990220732687703,-164.42778722045887,38.15733628131875,-111.09511955646167,108.34776890145758,-23.01619298335072,-144.74336854886724,103.53650328470167,2.1026269684184626,-88.87119609287856,-169.3259444601531,120.679360427559,60.97091716541854,11.2695213023635,-28.7950882413993,-59.66654812789011,-81.84266371868125,-95.85635864902952,-102.25812078387344,-101.6008393686875
-120.70337070142614,68.97741830652922,-94.34347376290589,109.85792706525581,-37.89941105341222,-177.1155944534471,52.67415551458316,-68.11768238233435,-179.1480696745748,79.8409498737924,-10.990357888176732,-91.58762155477916,-162.00521253171746,137.59660333195097,86.95986980029738,45.741548403696015,13.52916037515979,-10.142072934743283,-25.77204519147608,-33.879724550612536,-34.989084987138995
